"Timestamp","Scope","Pid(s)","CPU_Percent","WorkingSet_MB","Private_MB","Threads","Handles"
"2025-08-20T00:09:26","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24568;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.612","9657.43","9465.32","1639","29420"
"2025-08-20T00:09:27","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24568;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.886","9662.48","9471.15","1639","29420"
"2025-08-20T00:09:28","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24568;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.937","9660.63","9468.74","1639","29420"
"2025-08-20T00:09:29","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24568;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.913","9668.67","9478.46","1639","29420"
"2025-08-20T00:09:30","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24568;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.899","9658.57","9467","1640","29420"
"2025-08-20T00:09:31","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24568;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.933","9656.24","9464.64","1640","29420"
"2025-08-20T00:09:32","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24568;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.932","9654.9","9463.01","1640","29420"
"2025-08-20T00:09:33","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24568;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.889","9652.23","9459.77","1640","29420"
"2025-08-20T00:09:35","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24568;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.892","9653.97","9462.01","1640","29414"
"2025-08-20T00:09:36","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.905","9611.18","9445.09","1622","29101"
"2025-08-20T00:09:37","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.925","9610.52","9444.31","1622","29102"
"2025-08-20T00:09:38","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.922","9618.83","9454.4","1622","29101"
"2025-08-20T00:09:39","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.881","9615.67","9450.66","1622","29101"
"2025-08-20T00:09:40","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;18112;18568;20744;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25372;25460;26588;26920;27856;27932;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.91","9617.18","9452.39","1622","29101"
